Message 56: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000038 sec
Message 57: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000058 sec
Message 58: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000039 sec
Message 59: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000041 sec
Message 60: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000050 sec
Message 61: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000038 sec
Message 62: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000050 sec
Message 63: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000023 sec
Message 64: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000027 sec
Message 65: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000046 sec
Message 66: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000289 sec
Message 67: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000045 sec
Message 68: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000044 sec
Message 69: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000020 sec
Message 70: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000059 sec
Message 71: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000050 sec
Message 72: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000037 sec
Message 73: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000037 sec
Message 74: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000083 sec
Message 75: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000071 sec
Message 76: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000063 sec
Message 77: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000067 sec
Message 78: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000042 sec
Message 79: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000051 sec
Message 80: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000052 sec
Message 81: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000047 sec
Message 82: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000053 sec
Message 83: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000041 sec
Message 84: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000045 sec
Message 85: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000048 sec
Message 86: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000102 sec
Message 87: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000058 sec
Message 88: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000050 sec
Message 89: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000040 sec
Message 90: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000036 sec
Message 91: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000037 sec
Message 92: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000057 sec
Message 93: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000045 sec
Message 94: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000045 sec
Message 95: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000049 sec
Message 96: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000047 sec
Message 97: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000049 sec
Message 98: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000040 sec
Message 99: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000034 sec
Message 100: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000035 sec

TCP Test Summary:
Average RTT: 0.000271 sec
Throughput: 5172998.33 bytes/sec
